Normalized Science,Normalized Reading,Normalized Math,Normalized Average Performance,Average Performance,Year,Math,Reading,Science,Country,Shortage of educational staff,Shortage of educational material
0.740793627,0.765125465,0.848323535,0.792578397,491.0384405,2018,498.9423138,484.3925685,489.7804392,AUT,-0.159993333,-0.166327018
0.798594339,0.816642744,0.897715451,0.845910839,499.902624,2018,508.0703063,492.8644387,498.773127,BEL,0.338805556,-0.006434074
0.922160481,0.982173621,0.919070852,0.946974551,516.7000416,2018,512.0169429,520.085521,517.9976609,CAN,0.026325313,-0.427466917
0.443855695,0.569804278,0.407130446,0.471985406,437.7538913,2018,417.4065563,452.2725542,443.5825634,CHL,-0.247955066,-0.268388546
0.249361594,0.326702059,0.263877092,0.278026914,405.5167836,2018,390.9322732,412.295085,413.3229926,COL,0.356173061,0.690575918
0.785856168,0.800554757,0.851166154,0.819377344,495.4925921,2018,499.4676508,490.2188148,496.7913106,CZE,0.131429938,0.157204012
0.759154453,0.86690506,0.904901679,0.852844935,501.0551139,2018,509.3983746,501.1299337,492.6370334,DNK,-0.636828044,-0.409066052
1,1,0.980743901,1,525.513201,2018,523.4145802,523.0170184,530.1080046,EST,0.37531,0.110868696
0.947143636,0.982132436,0.893554663,0.945299018,516.4215577,2018,507.3013618,520.0787482,521.884563,FIN,0.083653299,0.090447716
0.761340072,0.815074098,0.829196953,0.808373656,493.6637108,2018,495.4075794,492.6064792,492.9770739,FRA,0.041268692,-0.24676729
0.82569134,0.84957015,0.854283614,0.849127864,500.4373136,2018,500.0437805,498.2792569,502.9889033,DEU,0.377265054,0.255518817
0.495598405,0.601071711,0.590909794,0.566558293,453.4724934,2018,451.3703438,457.4143948,451.6327416,GRC,0.087523276,0.606359052
0.683789558,0.714009373,0.751684141,0.722115092,479.3270008,2018,481.0826364,475.9866722,480.9116939,HUN,0.02316913,0.353480435
0.645946951,0.701772279,0.828005425,0.734559064,481.3952665,2018,495.1873762,473.9743169,475.0241063,ISL,-0.269105426,-0.315493798
0.78149992,0.969968717,0.852060291,0.874223142,504.6083049,2018,499.632894,518.0784592,496.1135617,IRL,0.099109091,0.166378571
0.563498063,0.680129223,0.654025252,0.637211243,465.2154532,2018,463.0345488,470.415178,462.1966328,ISR,0.318147059,0.324079412
0.60087472,0.715821548,0.781483923,0.707886305,476.9620879,2018,486.5898573,476.2846793,468.0117273,ITA,0.459310557,0.266597697
0.993748776,0.883482466,1,0.966758407,519.9882415,2018,526.9732502,503.856041,529.1354334,JPN,0.941350273,0.742561202
0.928649671,0.945485649,0.994371178,0.964808662,519.6641817,2018,525.933002,514.0522882,519.0072549,KOR,0.161445455,0.423342781
0.72453295,0.730501004,0.833086143,0.770437773,487.358531,2018,496.1263306,478.6986742,487.2505882,LVA,-0.122519128,-0.160292953
0.691215397,0.713321051,0.75227152,0.724422824,479.7105603,2018,481.1911884,475.8734797,482.0670127,LTU,-0.46289169,0.074512188
0.28716653,0.376406824,0.360568015,0.342053267,416.1583617,2018,408.8014734,420.4688923,419.2047193,MEX,-0.003444326,0.512061348
0.828229673,0.767504081,0.958106294,0.86133476,502.4661756,2018,519.2309824,484.7837251,503.3838194,NLD,0.012242177,-0.442234694
0.861054405,0.894861455,0.824230143,0.863960321,502.9025603,2018,494.489676,505.7272834,508.4907214,NZL,-0.044924324,-0.256435135
0.744860386,0.856695231,0.859261812,0.828101682,496.9426314,2018,500.9637885,499.4509563,490.4131494,NOR,-0.349524691,-0.055417695
0.877411427,0.93212821,0.938717962,0.92378851,512.8463773,2018,515.6478747,511.8556954,511.0355619,POL,-0.990860417,-0.161052917
0.752985927,0.810174688,0.813395784,0.798294586,491.9885066,2018,492.4874062,491.8007851,491.6773285,PRT,0.872992279,0.549979044
0.575395058,0.604535269,0.779184215,0.662380859,469.3987998,2018,486.1648542,457.983967,464.0475782,SVK,-0.382437249,0.428355014
0.851514832,0.831730731,0.902191666,0.869058454,503.7499017,2018,508.8975441,495.3456152,507.0065459,SVN,-0.175404088,-0.057290881
0.698832205,0.768819245,0.753361434,0.745507021,483.2148851,2018,481.3926126,485,483.2520427,ESP,0.290953212,0.107913519
0.802910826,0.895213769,0.866966663,0.861774145,502.5392042,2018,502.3877022,505.7852205,499.4446901,SWE,0.379006881,-0.46083578
0.776118323,0.762308978,0.936915212,0.835507165,498.1734687,2018,515.3147131,483.9294052,495.2762879,CHE,-0.512925221,-0.462207965
0.602725144,0.651040777,0.602475529,0.620751173,462.479687,2018,453.5077774,465.6316657,468.299618,TUR,0.133254595,-0.518845405
0.83648039,0.883920713,0.863623708,0.867285109,503.4551607,2018,501.7698992,503.9281094,504.6674736,GBR,-0.132975328,0.047885564
0.821777805,0.89258405,0.736328053,0.818374059,495.3258399,2018,478.2447174,505.3527705,502.3800319,USA,-0.15567619,-0.429127891
0.189897054,0.261076261,0.201766728,0.214808302,395.0094569,2018,379.4538169,401.503109,404.0714449,ARG,-0.05510254,0.321951963
